Tissue,Mean,Standard deviation
Blood,38948,25126.89976
BoneMarrow,2212727.415,573380.7515
Thymus,821857.9437,416239.6422
Spleen,6576342.472,1521511.944
LN,1866067,460153.8443
MLN,1665504.283,807948.7797
PP,24831,4602.300294
Adrenals,115,58.1836174
Brain,130.5,28.10100829
Skin,839.5,534.7181688
Kidney,2172,718.7221394
Liver,17743,3555.25364
Lung,1573.5,2258.129598
Pancreas,26137,14023
Muscle,1240.5,7783.219393
WAT,887.5,618.6377508
IEL,11385.5,2983.471915
LPL,181388.5,26693.04513
FRT,467.5,525.7163367
